iso,year,shares_d_L,shares_d_B
ABW,2005,1,1
ABW,2100,0.2,0.1
AFG,2005,1,1
AFG,2100,0.2,0.1
AGO,2005,1,1
AGO,2100,0.2,0.1
AIA,2005,1,1
AIA,2100,0.2,0.1
ALA,2005,1,1
ALA,2100,0.2,0.1
ALB,2005,1,1
ALB,2100,0.2,0.1
AND,2005,1,1
AND,2100,0.2,0.1
ARE,2005,1,1
ARE,2100,0.2,0.1
ARG,2005,1,1
ARG,2100,0.2,0.1
ARM,2005,1,1
ARM,2100,0.2,0.1
ASM,2005,1,1
ASM,2100,0.2,0.1
ATA,2005,1,1
ATA,2100,0.2,0.1
ATF,2005,1,1
ATF,2100,0.2,0.1
ATG,2005,1,1
ATG,2100,0.2,0.1
AUS,2005,1,1
AUS,2100,0.2,0.1
AUT,2005,1,1
AUT,2100,0.2,0.1
AZE,2005,1,1
AZE,2100,0.2,0.1
BDI,2005,1,1
BDI,2100,0.2,0.1
BEL,2005,1,1
BEL,2100,0.2,0.1
BEN,2005,1,1
BEN,2100,0.2,0.1
BES,2005,1,1
BES,2100,0.2,0.1
BFA,2005,1,1
BFA,2100,0.2,0.1
BGD,2005,1,1
BGD,2100,0.2,0.1
BGR,2005,1,1
BGR,2100,0.2,0.1
BHR,2005,1,1
BHR,2100,0.2,0.1
BHS,2005,1,1
BHS,2100,0.2,0.1
BIH,2005,1,1
BIH,2100,0.2,0.1
BLM,2005,1,1
BLM,2100,0.2,0.1
BLR,2005,1,1
BLR,2100,0.2,0.1
BLZ,2005,1,1
BLZ,2100,0.2,0.1
BMU,2005,1,1
BMU,2100,0.2,0.1
BOL,2005,1,1
BOL,2100,0.2,0.1
BRA,2005,1,1
BRA,2100,0.2,0.1
BRB,2005,1,1
BRB,2100,0.2,0.1
BRN,2005,1,1
BRN,2100,0.2,0.1
BTN,2005,1,1
BTN,2100,0.2,0.1
BVT,2005,1,1
BVT,2100,0.2,0.1
BWA,2005,1,1
BWA,2100,0.2,0.1
CAF,2005,1,1
CAF,2100,0.2,0.1
CAN,2005,1,1
CAN,2100,0.2,0.1
CCK,2005,1,1
CCK,2100,0.2,0.1
CHE,2005,1,1
CHE,2100,0.2,0.1
CHL,2005,1,1
CHL,2100,0.2,0.1
CHN,2005,1,1
CHN,2100,0.2,0.1
CIV,2005,1,1
CIV,2100,0.2,0.1
CMR,2005,1,1
CMR,2100,0.2,0.1
COD,2005,1,1
COD,2100,0.2,0.1
COG,2005,1,1
COG,2100,0.2,0.1
COK,2005,1,1
COK,2100,0.2,0.1
COL,2005,1,1
COL,2100,0.2,0.1
COM,2005,1,1
COM,2100,0.2,0.1
CPV,2005,1,1
CPV,2100,0.2,0.1
CRI,2005,1,1
CRI,2100,0.2,0.1
CUB,2005,1,1
CUB,2100,0.2,0.1
CUW,2005,1,1
CUW,2100,0.2,0.1
CXR,2005,1,1
CXR,2100,0.2,0.1
CYM,2005,1,1
CYM,2100,0.2,0.1
CYP,2005,1,1
CYP,2100,0.2,0.1
CZE,2005,1,1
CZE,2100,0.2,0.1
DEU,2005,1,1
DEU,2100,0.2,0.1
DJI,2005,1,1
DJI,2100,0.2,0.1
DMA,2005,1,1
DMA,2100,0.2,0.1
DNK,2005,1,1
DNK,2100,0.2,0.1
DOM,2005,1,1
DOM,2100,0.2,0.1
DZA,2005,1,1
DZA,2100,0.2,0.1
ECU,2005,1,1
ECU,2100,0.2,0.1
EGY,2005,1,1
EGY,2100,0.2,0.1
ERI,2005,1,1
ERI,2100,0.2,0.1
ESH,2005,1,1
ESH,2100,0.2,0.1
ESP,2005,1,1
ESP,2100,0.2,0.1
EST,2005,1,1
EST,2100,0.2,0.1
ETH,2005,1,1
ETH,2100,0.2,0.1
FIN,2005,1,1
FIN,2100,0.2,0.1
FJI,2005,1,1
FJI,2100,0.2,0.1
FLK,2005,1,1
FLK,2100,0.2,0.1
FRA,2005,1,1
FRA,2100,0.2,0.1
FRO,2005,1,1
FRO,2100,0.2,0.1
FSM,2005,1,1
FSM,2100,0.2,0.1
GAB,2005,1,1
GAB,2100,0.2,0.1
GBR,2005,1,1
GBR,2100,0.2,0.1
GEO,2005,1,1
GEO,2100,0.2,0.1
GGY,2005,1,1
GGY,2100,0.2,0.1
GHA,2005,1,1
GHA,2100,0.2,0.1
GIB,2005,1,1
GIB,2100,0.2,0.1
GIN,2005,1,1
GIN,2100,0.2,0.1
GLP,2005,1,1
GLP,2100,0.2,0.1
GMB,2005,1,1
GMB,2100,0.2,0.1
GNB,2005,1,1
GNB,2100,0.2,0.1
GNQ,2005,1,1
GNQ,2100,0.2,0.1
GRC,2005,1,1
GRC,2100,0.2,0.1
GRD,2005,1,1
GRD,2100,0.2,0.1
GRL,2005,1,1
GRL,2100,0.2,0.1
GTM,2005,1,1
GTM,2100,0.2,0.1
GUF,2005,1,1
GUF,2100,0.2,0.1
GUM,2005,1,1
GUM,2100,0.2,0.1
GUY,2005,1,1
GUY,2100,0.2,0.1
HKG,2005,1,1
HKG,2100,0.2,0.1
HMD,2005,1,1
HMD,2100,0.2,0.1
HND,2005,1,1
HND,2100,0.2,0.1
HRV,2005,1,1
HRV,2100,0.2,0.1
HTI,2005,1,1
HTI,2100,0.2,0.1
HUN,2005,1,1
HUN,2100,0.2,0.1
IDN,2005,1,1
IDN,2100,0.2,0.1
IMN,2005,1,1
IMN,2100,0.2,0.1
IND,2005,1,1
IND,2100,0.2,0.1
IOT,2005,1,1
IOT,2100,0.2,0.1
IRL,2005,1,1
IRL,2100,0.2,0.1
IRN,2005,1,1
IRN,2100,0.2,0.1
IRQ,2005,1,1
IRQ,2100,0.2,0.1
ISL,2005,1,1
ISL,2100,0.2,0.1
ISR,2005,1,1
ISR,2100,0.2,0.1
ITA,2005,1,1
ITA,2100,0.2,0.1
JAM,2005,1,1
JAM,2100,0.2,0.1
JEY,2005,1,1
JEY,2100,0.2,0.1
JOR,2005,1,1
JOR,2100,0.2,0.1
JPN,2005,1,1
JPN,2100,0.2,0.1
KAZ,2005,1,1
KAZ,2100,0.2,0.1
KEN,2005,1,1
KEN,2100,0.2,0.1
KGZ,2005,1,1
KGZ,2100,0.2,0.1
KHM,2005,1,1
KHM,2100,0.2,0.1
KIR,2005,1,1
KIR,2100,0.2,0.1
KNA,2005,1,1
KNA,2100,0.2,0.1
KOR,2005,1,1
KOR,2100,0.2,0.1
KWT,2005,1,1
KWT,2100,0.2,0.1
LAO,2005,1,1
LAO,2100,0.2,0.1
LBN,2005,1,1
LBN,2100,0.2,0.1
LBR,2005,1,1
LBR,2100,0.2,0.1
LBY,2005,1,1
LBY,2100,0.2,0.1
LCA,2005,1,1
LCA,2100,0.2,0.1
LIE,2005,1,1
LIE,2100,0.2,0.1
LKA,2005,1,1
LKA,2100,0.2,0.1
LSO,2005,1,1
LSO,2100,0.2,0.1
LTU,2005,1,1
LTU,2100,0.2,0.1
LUX,2005,1,1
LUX,2100,0.2,0.1
LVA,2005,1,1
LVA,2100,0.2,0.1
MAC,2005,1,1
MAC,2100,0.2,0.1
MAF,2005,1,1
MAF,2100,0.2,0.1
MAR,2005,1,1
MAR,2100,0.2,0.1
MCO,2005,1,1
MCO,2100,0.2,0.1
MDA,2005,1,1
MDA,2100,0.2,0.1
MDG,2005,1,1
MDG,2100,0.2,0.1
MDV,2005,1,1
MDV,2100,0.2,0.1
MEX,2005,1,1
MEX,2100,0.2,0.1
MHL,2005,1,1
MHL,2100,0.2,0.1
MKD,2005,1,1
MKD,2100,0.2,0.1
MLI,2005,1,1
MLI,2100,0.2,0.1
MLT,2005,1,1
MLT,2100,0.2,0.1
MMR,2005,1,1
MMR,2100,0.2,0.1
MNE,2005,1,1
MNE,2100,0.2,0.1
MNG,2005,1,1
MNG,2100,0.2,0.1
MNP,2005,1,1
MNP,2100,0.2,0.1
MOZ,2005,1,1
MOZ,2100,0.2,0.1
MRT,2005,1,1
MRT,2100,0.2,0.1
MSR,2005,1,1
MSR,2100,0.2,0.1
MTQ,2005,1,1
MTQ,2100,0.2,0.1
MUS,2005,1,1
MUS,2100,0.2,0.1
MWI,2005,1,1
MWI,2100,0.2,0.1
MYS,2005,1,1
MYS,2100,0.2,0.1
MYT,2005,1,1
MYT,2100,0.2,0.1
NAM,2005,1,1
NAM,2100,0.2,0.1
NCL,2005,1,1
NCL,2100,0.2,0.1
NER,2005,1,1
NER,2100,0.2,0.1
NFK,2005,1,1
NFK,2100,0.2,0.1
NGA,2005,1,1
NGA,2100,0.2,0.1
NIC,2005,1,1
NIC,2100,0.2,0.1
NIU,2005,1,1
NIU,2100,0.2,0.1
NLD,2005,1,1
NLD,2100,0.2,0.1
NOR,2005,1,1
NOR,2100,0.2,0.1
NPL,2005,1,1
NPL,2100,0.2,0.1
NRU,2005,1,1
NRU,2100,0.2,0.1
NZL,2005,1,1
NZL,2100,0.2,0.1
OMN,2005,1,1
OMN,2100,0.2,0.1
PAK,2005,1,1
PAK,2100,0.2,0.1
PAN,2005,1,1
PAN,2100,0.2,0.1
PCN,2005,1,1
PCN,2100,0.2,0.1
PER,2005,1,1
PER,2100,0.2,0.1
PHL,2005,1,1
PHL,2100,0.2,0.1
PLW,2005,1,1
PLW,2100,0.2,0.1
PNG,2005,1,1
PNG,2100,0.2,0.1
POL,2005,1,1
POL,2100,0.2,0.1
PRI,2005,1,1
PRI,2100,0.2,0.1
PRK,2005,1,1
PRK,2100,0.2,0.1
PRT,2005,1,1
PRT,2100,0.2,0.1
PRY,2005,1,1
PRY,2100,0.2,0.1
PSE,2005,1,1
PSE,2100,0.2,0.1
PYF,2005,1,1
PYF,2100,0.2,0.1
QAT,2005,1,1
QAT,2100,0.2,0.1
REU,2005,1,1
REU,2100,0.2,0.1
ROU,2005,1,1
ROU,2100,0.2,0.1
RUS,2005,1,1
RUS,2100,0.2,0.1
RWA,2005,1,1
RWA,2100,0.2,0.1
SAU,2005,1,1
SAU,2100,0.2,0.1
SDN,2005,1,1
SDN,2100,0.2,0.1
SEN,2005,1,1
SEN,2100,0.2,0.1
SGP,2005,1,1
SGP,2100,0.2,0.1
SGS,2005,1,1
SGS,2100,0.2,0.1
SHN,2005,1,1
SHN,2100,0.2,0.1
SJM,2005,1,1
SJM,2100,0.2,0.1
SLB,2005,1,1
SLB,2100,0.2,0.1
SLE,2005,1,1
SLE,2100,0.2,0.1
SLV,2005,1,1
SLV,2100,0.2,0.1
SMR,2005,1,1
SMR,2100,0.2,0.1
SOM,2005,1,1
SOM,2100,0.2,0.1
SPM,2005,1,1
SPM,2100,0.2,0.1
SRB,2005,1,1
SRB,2100,0.2,0.1
SSD,2005,1,1
SSD,2100,0.2,0.1
STP,2005,1,1
STP,2100,0.2,0.1
SUR,2005,1,1
SUR,2100,0.2,0.1
SVK,2005,1,1
SVK,2100,0.2,0.1
SVN,2005,1,1
SVN,2100,0.2,0.1
SWE,2005,1,1
SWE,2100,0.2,0.1
SWZ,2005,1,1
SWZ,2100,0.2,0.1
SXM,2005,1,1
SXM,2100,0.2,0.1
SYC,2005,1,1
SYC,2100,0.2,0.1
SYR,2005,1,1
SYR,2100,0.2,0.1
TCA,2005,1,1
TCA,2100,0.2,0.1
TCD,2005,1,1
TCD,2100,0.2,0.1
TGO,2005,1,1
TGO,2100,0.2,0.1
THA,2005,1,1
THA,2100,0.2,0.1
TJK,2005,1,1
TJK,2100,0.2,0.1
TKL,2005,1,1
TKL,2100,0.2,0.1
TKM,2005,1,1
TKM,2100,0.2,0.1
TLS,2005,1,1
TLS,2100,0.2,0.1
TON,2005,1,1
TON,2100,0.2,0.1
TTO,2005,1,1
TTO,2100,0.2,0.1
TUN,2005,1,1
TUN,2100,0.2,0.1
TUR,2005,1,1
TUR,2100,0.2,0.1
TUV,2005,1,1
TUV,2100,0.2,0.1
TWN,2005,1,1
TWN,2100,0.2,0.1
TZA,2005,1,1
TZA,2100,0.2,0.1
UGA,2005,1,1
UGA,2100,0.2,0.1
UKR,2005,1,1
UKR,2100,0.2,0.1
UMI,2005,1,1
UMI,2100,0.2,0.1
URY,2005,1,1
URY,2100,0.2,0.1
USA,2005,1,1
USA,2100,0.2,0.1
UZB,2005,1,1
UZB,2100,0.2,0.1
VAT,2005,1,1
VAT,2100,0.2,0.1
VCT,2005,1,1
VCT,2100,0.2,0.1
VEN,2005,1,1
VEN,2100,0.2,0.1
VGB,2005,1,1
VGB,2100,0.2,0.1
VIR,2005,1,1
VIR,2100,0.2,0.1
VNM,2005,1,1
VNM,2100,0.2,0.1
VUT,2005,1,1
VUT,2100,0.2,0.1
WLF,2005,1,1
WLF,2100,0.2,0.1
WSM,2005,1,1
WSM,2100,0.2,0.1
YEM,2005,1,1
YEM,2100,0.2,0.1
ZAF,2005,1,1
ZAF,2100,0.2,0.1
ZMB,2005,1,1
ZMB,2100,0.2,0.1
ZWE,2005,1,1
ZWE,2100,0.2,0.1
